XLitho	YLitho	wavelength
5e-06	1.2e-05	51
2e-06	9e-06	
		
2e-06	9e-06	
2e-06	5e-06	
		
2e-06	5e-06	
5e-06	2e-06	
		
5e-06	2e-06	
9e-06	2e-06	
		
9e-06	2e-06	
1.2e-05	5e-06	
		
1.2e-05	5e-06	
1.2e-05	9e-06	
		
1.2e-05	9e-06	
9e-06	1.2e-05	
		
9e-06	1.2e-05	
5e-06	1.2e-05	
		
7e-06	1.1e-05	
3e-06	7e-06	
		
3e-06	7e-06	
5e-06	3e-06	
		
5e-06	3e-06	
9e-06	3e-06	
		
9e-06	3e-06	
1.1e-05	7e-06	
		
1.1e-05	7e-06	
7e-06	1.1e-05	
		
7e-06	9e-06	
4.5e-06	6.5e-06	
		
4.5e-06	6.5e-06	
7e-06	4e-06	
		
7e-06	4e-06	
9.5e-06	6.5e-06	
		
9.5e-06	6.5e-06	
7e-06	9e-06	
		
